"id","name","survey_id","user_id","type","filter","sections","created_at","is_deleted","share_id"
"120","Good translation","103","095ff2de-50ce-11eb-a07c-bf277141b12d","summary","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""summary"",""content"":{""invisibles"":[]}}]","22/1/2021 09:10:13.276716-08:08","f","7515f0ca-5f13-11eb-b239-25b7f5e3edfd"
"126",,"1","095ff2de-50ce-11eb-a07c-bf277141b12d","cross-tab","{}","[{""id"":1,""type"":""cross-tab"",""content"":{""horizontal"":""question1"",""vertical"":""question6""}}]","24/1/2021 01:44:09.50991-08:08","t","e2e0d3c2-5f13-11eb-b239-25b7f5e3edfd"
"127","OpenEnd Report","1","095ff2de-50ce-11eb-a07c-bf277141b12d","open-end","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""open-end"",""content"":{""openend"":""question2""}}]","24/1/2021 08:21:38.809945-08:08","f","e50d4130-5f13-11eb-b239-25b7f5e3edfd"
"128","CT Summary","1","095ff2de-50ce-11eb-a07c-bf277141b12d","cross-tab","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""cross-tab"",""content"":{""horizontal"":""question1"",""vertical"":""question1""}}]","24/1/2021 08:23:56.243092-08:08","f","e6a252e2-5f13-11eb-b239-25b7f5e3edfd"
"125","Summary REPORT","1","095ff2de-50ce-11eb-a07c-bf277141b12d","summary","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""summary"",""content"":{""invisibles"":[""question1"",""question12"",""question11""],""orders"":[]}},{""type"":""cross-tab"",""content"":{""horizontal"":""question6"",""vertical"":""question5""},""id"":2},{""type"":""open-end"",""content"":{""openend"":""question2""},""id"":3},{""type"":""cross-tab"",""content"":{""horizontal"":""question6"",""vertical"":""question1""},""id"":4},{""type"":""pillar"",""content"":{""invisibles"":[],""pillar"":""44326eec-5aff-11eb-84fc-6f0f4d62e2f8"",""orders"":[]},""id"":5},{""type"":""question-score"",""content"":{},""id"":6}]","22/1/2021 10:46:09.445326-08:08","f","670a6222-5f18-11eb-b239-25b7f5e3edfd"
"133","Mohammed Foad Omer","1","095ff2de-50ce-11eb-a07c-bf277141b12d","summary","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""summary"",""content"":{""invisibles"":[]}}]","26/1/2021 21:49:01.867377-08:08","f","5ba8ab5e-6063-11eb-ac93-271d9b62dc35"
"137","Mohammed Foad Omer","1","095ff2de-50ce-11eb-a07c-bf277141b12d","summary","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""summary"",""content"":{""invisibles"":[]}}]","31/1/2021 10:42:28.793403-08:08","f","120b212c-63f4-11eb-ac93-271d9b62dc35"
"139","Benchmarking Report","1","095ff2de-50ce-11eb-a07c-bf277141b12d","benchmarking","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""benchmarking"",""content"":{""survey1"":null,""survey2"":10,""element1"":""question11"",""element2"":""question7""}}]","2/2/2021 07:29:05.635467-08:08","f","62d1ed3e-656b-11eb-ac93-271d9b62dc35"
"141","Trend Report","1","095ff2de-50ce-11eb-a07c-bf277141b12d","trend","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""trend"",""content"":{""durationType"":""monthly""}}]","3/2/2021 08:55:34.413279-08:08","f","a20375ce-6640-11eb-ac93-271d9b62dc35"
"145","Mohammed Foad Omer","6","095ff2de-50ce-11eb-a07c-bf277141b12d","trend","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""trend"",""content"":{""durationType"":""monthly""}}]","10/3/2021 02:25:43.529628-08:08","f","f883611a-818a-11eb-ac93-271d9b62dc35"
"161","Quesiton","157","095ff2de-50ce-11eb-a07c-bf277141b12d","question-score","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""question-score"",""content"":{}}]","15/5/2021 14:49:45.533138-07:07","f","7673b1b8-b5c7-11eb-be15-f563c7d6db22"
"163","Quesiton s","157","095ff2de-50ce-11eb-a07c-bf277141b12d","question-score","{""dateFilter"":false,""conditionFilter"":true,""conditions"":[{""question"":""question2"",""operator"":""equal"",""option"":""item1""}]}","[{""id"":1,""type"":""question-score"",""content"":{}},{""type"":""question-score"",""content"":{},""id"":2}]","15/5/2021 21:12:53.203379-07:07","f","fc3d0b3e-b5fc-11eb-be15-f563c7d6db22"
"1","Report 1","157","095ff2de-50ce-11eb-a07c-bf277141b12d","open-end","{""dateFilter"":false,""conditionFilter"":true,""conditions"":[{""question"":""question2"",""operator"":""equal"",""option"":""item2""}]}","[{""id"":1,""type"":""open-end"",""content"":{""openend"":""question1""}}]","11/6/2021 08:47:29.14565-07:07","f","53ba47ee-cacc-11eb-afc6-436d44ecd6ad"
"2","Vu dung ","151","095ff2de-50ce-11eb-a07c-bf277141b12d","question-score","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""question-score"",""content"":{}}]","11/6/2021 08:48:11.917312-07:07","f","6d3428ac-cacc-11eb-90bb-4779cbf8f82f"
"3","wwww","151","095ff2de-50ce-11eb-a07c-bf277141b12d","summary","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""summary"",""content"":{""invisibles"":[]}}]","11/6/2021 08:48:25.186489-07:07","f","751cce66-cacc-11eb-b81d-2bcd3bcc8d25"
"4","1111","151","095ff2de-50ce-11eb-a07c-bf277141b12d","question-score","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""question-score"",""content"":{}}]","11/6/2021 08:50:35.28485-07:07","f","c2a843f4-cacc-11eb-ac93-5fd494a0eb10"
"162","open","157","095ff2de-50ce-11eb-a07c-bf277141b12d","open-end","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""open-end"",""content"":{""openend"":""question9""}},{""type"":""open-end"",""content"":{""openend"":""question1""},""id"":2}]","15/5/2021 21:12:08.265401-07:07","f","e1695de4-b5fc-11eb-be15-f563c7d6db22"
"6","eee","157","095ff2de-50ce-11eb-a07c-bf277141b12d","open-end","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""open-end"",""content"":{""openend"":""question1""}},{""type"":""open-end"",""content"":{""openend"":""question9""},""id"":2}]","11/6/2021 09:10:03.870968-07:07","f","7b309bf4-cacf-11eb-832d-db1bcc420800"
"7","qqq","157","095ff2de-50ce-11eb-a07c-bf277141b12d","open-end","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""open-end"",""content"":{}}]","11/6/2021 09:17:18.694228-07:07","f","7e5d3782-cad0-11eb-945c-c3133728662a"
"8","qwqw","157","095ff2de-50ce-11eb-a07c-bf277141b12d","open-end","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""open-end"",""content"":{""openend"":""openend""}},{""type"":""open-end"",""content"":{""openend"":""openend""},""id"":2}]","11/6/2021 09:28:27.572795-07:07","f","0d0c1efc-cad2-11eb-ac31-1b74fae470ee"
"60","ssss","157","095ff2de-50ce-11eb-a07c-bf277141b12d","summary","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""summary"",""content"":{""invisibles"":[]}}]","15/6/2021 06:50:07.809126-07:07","f","98738122-cde0-11eb-85fb-e3468c7cd3f4"
"9","wewe","157","095ff2de-50ce-11eb-a07c-bf277141b12d","open-end","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""open-end"",""content"":{""openend"":""openend""}},{""type"":""open-end"",""content"":{""openend"":""openend""},""id"":2}]","11/6/2021 11:07:32.231834-07:07","f","e4571f44-cadf-11eb-bfa0-038af7766575"
"160","Abu baker summary","157","095ff2de-50ce-11eb-a07c-bf277141b12d","summary","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""summary"",""content"":{""invisibles"":[],""orders"":[]}},{""type"":""open-end"",""content"":{""openend"":""question1""},""id"":2},{""type"":""cross-tab"",""content"":{""horizontal"":""question2"",""vertical"":""question3""},""id"":3}]","15/5/2021 14:46:29.81736-07:07","f","01cbd5fc-b5c7-11eb-be15-f563c7d6db22"
"150","trending","157","095ff2de-50ce-11eb-a07c-bf277141b12d","trend","{""dateFilter"":false,""conditionFilter"":false}","[{""id"":1,""type"":""trend"",""content"":{""durationType"":""quarterly""}}]","7/7/2021 07:39:36.376479-07:07","f","26f67b6e-df31-11eb-9ccc-57df0647d09e"
